GradientNorms,TimeTaken,FunctionValues
32518369557.03958,0.003495931625366211,7707074630.383734
18337620878.38892,0.014877557754516602,2451826240.7048736
980937084.9953609,0.030751466751098633,8429529.685184661
886657150.1951597,0.03571128845214844,7146045.654598737
210691633.48746675,0.043646812438964844,1737523.7908964292
35746976.24259717,0.06546998023986816,1419795.1582946
17309326.263832983,0.17657470703125,1408003.7922077843
17697063.82054436,0.18947100639343262,1397794.2549622469
17486578.186338194,0.20434999465942383,1389897.5014221417
18339136.617746066,0.2296459674835205,1379782.6116025513
18446501.019689456,0.25246238708496094,1371518.9760881662
16878743.15099,0.26139140129089355,1365501.7468932974
21204484.02279893,0.527545690536499,1346023.7875166675
17415446.06735703,0.5334975719451904,1342761.6321002413
18487684.238369368,0.5771448612213135,1333389.0127902594
18450914.75612252,0.6986610889434814,1325638.8416920067
18813398.335365374,2.7509031295776367,1317702.3803422414
17780914.700219344,2.76875901222229,1310658.3931531638
16495040.831089994,2.7776870727539062,1304700.6879039581
20075561.105855368,2.9589481353759766,1289555.1999197896
15961145.0345349,2.984740972518921,1284383.263700669
16151363.300507799,2.993170738220215,1271401.852918995
18007218.45925261,3.0075552463531494,1258744.7381517747
15671904.317423748,3.0184671878814697,1254276.1708031744
19973371.664452285,3.0596346855163574,1194275.6819020368
16224360.088061143,3.071042537689209,1188441.304224972
17899904.333651166,3.095844268798828,1180183.0154196115
16034070.377694134,3.1729230880737305,1174518.0166059863
16964655.45381937,3.181356906890869,1166930.5362886642
15377755.796005793,3.1882994174957275,1164887.9097327695
17401463.89581698,3.225003957748413,1154650.8907400372
15642328.564003324,3.229962110519409,1152841.488740474
16927355.66823362,3.241370677947998,1144847.984803446
16764305.280549131,3.301882743835449,1138632.9986184963
16008408.51770063,3.318746566772461,1132834.7400641679
14746346.470508227,3.328666925430298,1130558.9031673232
15624418.253608769,3.3440427780151367,1119930.384601504
16123279.77602458,3.3628900051116943,1113291.6530254642
15000736.861811634,3.3742988109588623,1108217.1187830847
17652909.05379993,3.7857563495635986,1098743.4324880335
14271138.07100519,3.789228916168213,1094681.7753175355
18342568.60543914,3.87007737159729,1062030.3631838488
17774574.724113476,3.8735482692718506,1061671.9798405392
14371573.013053305,3.881484270095825,1057110.058575739
14128511.916977322,3.8859498500823975,1056292.8452789376
16401558.285311308,3.9028127193450928,1044914.3334253507
15344738.156371273,3.9910993576049805,1039805.8562271625
14445025.366558043,4.005483865737915,1035027.1961960992
16532884.205042766,4.347134351730347,1027382.1195667713
13683412.422114994,4.3749120235443115,1023521.9352882839
14540588.062262692,4.384335041046143,1013517.4134489783
14844604.066148007,4.401199579238892,1007924.3949336844
14794205.495085426,4.418558597564697,1002714.6863659847
15414691.560643112,4.429966688156128,997117.5471545565
14513958.695054065,4.521726608276367,992412.1987838405
14412148.5230601,4.525198459625244,992284.2511344035
15750312.914410884,6.086787939071655,986198.6606338959
13293833.660765667,6.113076448440552,982560.7254397462
16475213.890225159,6.131428003311157,968477.5668230214
12962337.924986955,6.136388301849365,965176.3461400454
16910605.988706607,6.139859676361084,895774.4903130742
13000791.488207713,6.17147970199585,891913.6499275292
13645040.41569609,6.207687616348267,886924.3715528289
12148132.43425962,6.2171125411987305,884867.1175259593
16056946.88333864,6.540998935699463,861899.3041413117
13519997.871439513,6.550424337387085,860544.8440547354
11949505.799333664,6.562823534011841,857633.5886495002
14772724.992045593,6.654209852218628,846523.8095192186
12103949.46208572,6.717698097229004,843296.4176720704
12550365.489911437,6.722657918930054,838561.7374192514
11951086.309663367,6.735057592391968,835261.500908429
11928701.096389532,6.746466159820557,831337.9522977304
11494549.68253713,6.75500226020813,828894.3048694861
14994796.092313595,6.76492166519165,802186.8797995005
11590694.113910679,6.806089401245117,799132.9968689029
11448372.495726002,6.815513849258423,795730.7916539076
12163299.701282304,6.827417612075806,790894.5187877222
11233642.810591431,6.832873582839966,789740.0830498413
13946366.144876419,6.956012725830078,781687.9394712808
11741088.634021027,7.043309926986694,778667.8803229132
11626584.079331318,7.067550182342529,775296.2609551322
11333985.336997826,7.079950332641602,772149.6253537043
11810148.981657216,7.085669755935669,768143.4463329478
11606535.90574578,7.123861312866211,764900.2992249517
12756794.314309256,7.401125907897949,760844.3427162503
11132080.208226372,7.414518594741821,758130.5959839078
12361553.830391059,7.423941135406494,753560.3132486837
10876143.186799852,7.428405523300171,752358.2011983136
13245238.913931552,8.177744388580322,746239.4439712394
11099433.068109952,8.184190273284912,744998.7995464172
10778596.035030004,8.1881582736969,744488.1000721786
10572181.03937916,8.196093797683716,741778.5036114742
13346452.938166773,8.205518007278442,733415.0309026313
10623590.737219794,8.216928005218506,730907.0391315975
12584790.547681497,8.223869800567627,725543.4765330806
10625064.268183786,8.22882890701294,724318.9288865136
12540755.533381537,8.239245891571045,719445.4645628067
10272651.237508312,8.248173713684082,717198.373304604
10575793.149140216,8.255613088607788,713187.9708485499
10270066.628690774,8.266526222229004,710661.2522895695
11471340.586599644,8.300023555755615,705791.3635943775
10754296.007111236,8.347639322280884,703191.6928512829
11233141.519764815,8.359543323516846,700012.8731114411
11252923.864883143,8.565967798233032,697161.9407202831
10590504.969131242,8.583327770233154,694623.8522767263
9942525.875572158,8.596223592758179,692487.7614726854
10646656.769630129,8.61755108833313,687971.0471260947
9869760.577277353,8.635406494140625,685878.9389366468
10207464.841407968,8.647806882858276,682203.3542276374
9653723.879734736,8.654256582260132,680373.3747080633
11275932.732766591,8.669135570526123,671321.6913679856
9458914.94782907,8.67310357093811,669816.5489327488
9513819.061718464,8.681037664413452,661626.4820105468
10254363.828277227,8.69790244102478,657442.4771842299
10299694.30132198,8.725182056427002,654899.5624459279
10087065.35592551,8.750478982925415,652505.4574533649
9239499.545977265,8.768829584121704,650851.2498023155
12022754.53439975,8.774291038513184,640572.5043255372
9814102.125521228,8.86397123336792,638454.4164846671
10421962.664670961,8.983884334564209,635767.5205321764
8943644.325432446,8.987852811813354,634403.9708470537
9787931.417375471,9.009180784225464,499114.4928739057
6695838.777873724,9.025548458099365,498179.39176598005
8688354.022073885,9.361836910247803,493638.1283542614
6889997.996461426,9.427308320999146,492571.55228386226
7290171.468422978,9.441195726394653,491069.1105827916
7092361.608979031,9.477404832839966,489899.1169614453
7092135.71646839,9.519564390182495,488671.5858331272
7459033.844292433,9.536427974700928,487331.76708999043
7319027.848713708,10.364487171173096,486158.00820095715
